package_id,county_count,record_count
cvvc6h6gi0og00891ie0,2,2
cvvsj0ugi0og008fin50,2,2
d04hp75pebk000e5ugdg,2,2
d5pcb3f1akqg00cc7b5g,2,2
d2t353rubco000akusd0,2,2
cvqlj9ao7i8g0082dt7g,2,2
cvvu5uqdvnk00097tqr0,2,2
d05vn8ks10rg009k34r0,2,2
cvndshmgi0og00f9qrug,2,2
d07pqkd27ee00099d050,2,2
cvvbqmks10rg00fofh9g,2,2
cvu2785lhp0g00fo7rq0,2,2
d07pobdu3ph000die3kg,2,2
cvu202nmrfo000apqrqg,2,2
cvvbl0ujsr2g008tsv9g,2,2
d04hto6o773g00bha3qg,2,2
d4pnjl6i2fk000a9cum0,2,2
d04hvrp0qf8g00a42oa0,2,2
cvvsocqdvnk00097t700,2,2
cv5kuvpkbgn000dtb17g,2,2
cvradvrpuid000afmhlg,2,2
cvnj3rd27ee000e9vqpg,2,2
d00loif9vfn000d7orcg,2,2
cmq0buh8t1lg009u26ig,2,2
d3es2hfpcljg00abv05g,2,2
cvveegqcalk000dvsvg0,2,2
d04g9mdlhp0g009n3cb0,2,2
cvqk3fp0p0eg00ecjcng,2,2
d03e0tmoeelg00crgv6g,2,2
cvnjlttpebk000bcm430,2,2
cvo0bt472f3g00982hig,2,2
cvne0qcs3cjg00dhi360,2,2
d03dtilpebk000donovg,2,2
d00iatmo773g00a4cpk0,2,2
cvndtbss10rg00ep8kkg,2,2
d0552pedqm9g00ap2as0,2,2
d07pqt6dqm9g00av2nt0,2,2
cvvu2olaar4g00e6tmu0,2,2
d04hufcs10rg009ifb2g,2,2
d03e286oeelg00crgvcg,2,2
cvnk0uh0p0eg00e6bor0,2,2
cvvbqb5u3ph000bi745g,2,2
d04kpomo773g00bhdh2g,2,2
cvraect27ee000ek439g,2,2
d5pcb2ui8kjg00c3uhsg,2,2
d04hn18b12i0009t58p0,2,2
cvqjsgdlhp0g00f4674g,2,2
cvnjdg5pebk000bcm3hg,2,2
cvvegq6gi0og00891sb0,2,2
cvo0d3rpuid000a71t40,2,2
cvnjvnss3cjg00dhie9g,2,2
cvv7rbnmrfo000auqu10,2,2
cvqk626gi0og00fg34d0,2,2
cvvu536r7j8g009s9i2g,2,2
d005a6cs3cjg00eqgmk0,2,2
cvra7ollhp0g00f81s50,2,2
d0nrkvp0qf8g00bb71d0,2,2
d5gqb1ei2fk000ae04ug,2,2
cvvs6hdpebk000cie7eg,2,2
d5pccq32am1g00e327ag,2,2
d04g5tcaa58000e4gch0,2,2
cvvs01f9vfn000d17jig,2,2
cvndvah0p0eg00e6b850,2,2
cvm4gd7ae9v000cqh6r0,2,2
cvqk92gh3d7g00bqnsf0,2,2
cvvshp0sssgg00dpmhdg,2,2
cvrd456o773g00927sjg,2,2
cv502r6ufh8000asa9bg,2,2
cvumcc2o7i8g008rc79g,2,2
d04i70tpebk000e5uib0,2,2
d0sfc78sssgg008knu50,2,2
cvnipevk2lrg00c7oi20,2,2
cvnjocfk2lrg00c7olk0,2,2
cvvv9bmgi0og008fjjg0,2,2
cvqjsjbpuid000abqgd0,2,2
cvqk2a7mrfo000a5t480,2,2
d03uurn9vfn000efoo00,2,2
cvvei94s3cjg00egphqg,2,2
cvnehpt3tiq0008fe0f0,2,2
cvpdkqkmmp3000fephbg,2,2
cvo0eaob12i000f5g3qg,2,2
cvvv8frpuid000bbahl0,2,2
cvvshptlhp0g0083m07g,2,2
d04i744s3cjg008ano7g,2,2
cvrac0ss3cjg00drlulg,2,2
cvvc7h5lhp0g00ft59i0,2,2
d04lmg2dvnk000areavg,2,2
d00i20p0qf8g008n5780,2,2
cvvbn7bpp0p000fhoun0,2,2
d07pu9osssgg00fjb540,2,2
d03dvrejsr2g00aamqqg,2,2
d04hsk8h3d7g00edo6ig,2,2
cvmov3md4ml000fltmtg,2,2
d03dofer7j8g00b2i9sg,2,2
cvvrqdugi0og008fi9d0,2,2
