package_id,distinct_documents,record_count
d05v9f6o773g00bitq1g,2,2
d4pnjkvi154000cgnpf0,2,2
d5pk2lnng86g00dtei70,2,2
cv2bbdh0s88000e3uj90,2,2
d055835u3ph000dcdp6g,2,2
cvniv39ggil000ecalm0,2,2
cvumfqoh3d7g00cjm1q0,2,2
cvpdkr472f3g009b28jg,2,2
cvvrtltaar4g00e6sgm0,2,2
d04kbq9n485g00bs5to0,2,2
cvnipaicalk000d0lvmg,2,2
cvvbpkc1fmq000bv5vf0,2,2
cvnisogb12i000f40r1g,2,2
cvvbm59ggil000fbgbpg,2,2
d057otsmmp3000a3p7tg,2,2
cvumfck72f3g00a5om4g,2,2
cvvscemgi0og008fim3g,2,2
d3es2hfpcljg00abv05g,2,2
d3cuqddu2l9000e47mgg,2,2
cvvu2h5pebk000cif1g0,2,2
cvnisgdpebk000bcm1f0,2,2
d05a7t10qf8g00a47ong,2,2
cvnjofc72f3g0096j6o0,2,2
cvvehfn9vfn000cqn9og,2,2
d07psc6o773g00bnf340,2,2
d4pnjl6i2fk000a9cum0,2,2
d5pktq6lkkgg00bf1e4g,2,2
d32bhdj0g61000c19vf0,2,2
d5um71qb8brg00c6a2eg,2,2
cvvs3a8b12i00089nr1g,2,2
cvm4jh9214i000aad0jg,2,2
d0jsla6jsr2g00bobgc0,2,2
cvvegoeo773g009nbaog,2,2
cvnisnss3cjg00dhiaug,2,2
d057mnl6k1j000cid2s0,2,2
d2222cgg948000ba6rog,2,2
cvvega6jsr2g008ttns0,2,2
d07q1b6jsr2g00au2qr0,2,2
cvnjc6mr7j8g008mfp3g,2,2
cvvsi39ggil000fi1hc0,2,2
d1oqrp9j31q000d7gccg,2,2
cvvvd010qf8g008gm0tg,2,2
d07poo472f3g00c5vaqg,2,2
d5pk2l6i2fk000aej89g,2,2
d07ptcllhp0g009t7th0,2,2
cvndlf4aa58000bbgnmg,2,2
b8aodu43clr01n1ocfd0,2,2
cvnirltu3ph000aivlbg,2,2
cvm4htp30g1000eb6t0g,2,2
d5rb6cei2fk000aelv6g,2,2
d07pjhmdqm9g00av2jgg,2,2
d0ekcrsaa58000eocig0,2,2
cvnjhf2calk000d0m2l0,2,2
d055cul6k1j000cicja0,2,2
d4pnjkfi154000cgnpeg,2,2
cvvbo3acalk000dvs7gg,2,2
cvo0bq79vfn000bt01a0,2,2
cvvrqfmgi0og008fi9dg,2,2
cvum5c79vfn000cqkob0,2,2
d0551quo773g00bhedjg,2,2
cvvbqq0h3d7g00cjnpa0,2,2
cvm3qkmc0vsg00bc6o50,2,2
cvvbq3jpuid000b4oomg,2,2
cvv7qi90qf8g008a38n0,2,2
d5gps9ui8kjg00c3ejq0,2,2
d07psbdpebk000ec34k0,2,2
d4pnjj3bj1b000d463j0,2,2
d5gpvdui8kjg00c3ejrg,2,2
cvvs5kkclak000atd750,2,2
cvnjng90p0eg00e6bnm0,2,2
cvnjhfcs3cjg00dhid60,2,2
cvvsnv6jsr2g0094esi0,2,2
d0554ceomc2g00f162u0,2,2
cvnjh6ugi0og00f9r720,2,2
d04kpjdu3ph000dccsog,2,2
cvvrsh4s3cjg00en9sd0,2,2
cvniqb10qf8g00favo9g,2,2
cv9j1ilf9qc000f8op50,2,2
cvvbmd1ggil000fbgbq0,2,2
cvveg6ks10rg00fog8mg,2,2
cvvsd2fmrfo000b5cl80,2,2
d04k67eomc2g00f152sg,2,2
d5pktpmi2fk000aej9q0,2,2
cvvef6h0qf8g008a4q00,2,2
d00hvv8h3d7g00d0pkt0,2,2
cvnis4uo773g008o30qg,2,2
cvvsheao7i8g0091vmu0,2,2
d1it68j684e0008933d0,2,2
cvvek6cclak000amsebg,2,2
cvveg64s3cjg00egph9g,2,2
cvvejridvnk00091cni0,2,2
cvvehdur7j8g009lnoc0,2,2
d07q0ilpebk000ec37qg,2,2
d04hof79vfn000ekkug0,2,2
d07q5mao7i8g00arnak0,2,2
d5dfuk37b9cg008edm00,2,2
cvpdsb2dvnk00086k4n0,2,2
d05uuikmmp3000a582n0,2,2
cvo0bsh0qf8g00fcf050,2,2
cvm4hprq1pvg00e3jddg,2,2
cvpdj7acalk000d55450,2,2
cvvs4adpebk000cie61g,2,2
cutnrnu7jsdg00fr9vng,2,2
d04k71cs10rg009iimmg,2,2
d5gq13ei2fk000ae04e0,2,2
cvvsbgllhp0g0083lvg0,2,2
cvumccao7i8g008rc7a0,2,2
d1eufljhebj000ajaj3g,2,2
cvvs4j2gb1c000a3mm5g,2,2
d07q080b12i000a3ab3g,2,2
cvvsbl4s10rg00fv1bu0,2,2
cv1152cjs1r000f20h60,2,2
cvvsi5kclak000atd9l0,2,2
d07pvl0b12i000a3aakg,2,2
cvvef1l27ee000f98sh0,2,2
d620qk6rgi50008mui1g,2,2
cvniojp0p0eg00e6bjlg,2,2
cvnj9hcmmp3000faah90,2,2
cvvs1p5pebk000cie2bg,2,2
cvvegqugi0og00891sbg,2,2
cvvsidoh3d7g00cq91mg,2,2
cvvsbg4mmp30008g4vdg,2,2
cvumcvsclak000ampuog,2,2
d040ofp0qf8g009v6j7g,2,2
d05uudcs10rg009k34d0,2,2
cu40lbfhqbc000c1bm0g,2,2
cvnis6saa58000bbh1t0,2,2
cvo0dl3pp0p000ek2ij0,2,2
d5lm2vulkkgg00beqoag,2,2
cvne33ub3op0009apv2g,2,2
cvum5cqo7i8g008rc6lg,2,2
cvumd0ob12i000834lcg,2,2
d32bhsbdseq000aqulvg,2,2
d05v01ao7i8g00an59h0,2,2
cvvbnpk1fmq000bv5v90,2,2
cvvbqcsaa58000cal75g,2,2
cvvbqb5u3ph000bi745g,2,2
cvvrsk2o7i8g0091vb60,2,2
cvv7qibpp0p000fho570,2,2
cvnji4gsssgg00cjtsa0,2,2
d0sfc88sssgg008knu5g,2,2
cvvehhrpuid000b4pgsg,2,2
cvvek17mrfo000auses0,2,2
cvpdjc5lhp0g00f2dev0,2,2
cvveegqcalk000dvsvg0,2,2
d05vn9t6k1j000cjs45g,2,2
d5dfuhui2fk000adksr0,2,2
cvpdkt4mmp3000fephc0,2,2
d05a6t6gi0og00a35sq0,2,2
d07pre4s3cjg008gs1o0,2,2
d5ldtt68nps0009h7me0,2,2
cvvejh5lhp0g00ft5iug,2,2
d04hokhn485g00bs2ho0,2,2
cvveiqc72f3g00a5r4v0,2,2
d0552c9n485g00bs6t60,2,2
cvnjk4nmrfo0009vlieg,2,2
cu41h6d965dg00dumjvg,2,2
cvniqsp0qf8g00favod0,2,2
cvvse2v9vfn000d17sg0,2,2
cvvrqv5aar4g00e6sfgg,2,2
d5rb6dei8kjg00c40q2g,2,2
d0552nc72f3g00bvuvlg,2,2
cvvsa5eomc2g00ddk00g,2,2
cvnit18sssgg00cjtpog,2,2
cvpdkvdpebk000bh4rvg,2,2
cvnj9cvmrfo0009vlhdg,2,2
cvvej9nmrfo000auseng,2,2
