state_name,created_month,mappings_created,later_revised
Michigan,2024-11-01,8,0
West Virginia,2024-10-01,3965,180
Texas,2024-10-01,3523,62
Ohio,2024-10-01,2582,34
Pennsylvania,2024-10-01,1958,55
Oklahoma,2024-10-01,1922,41
Montana,2024-10-01,490,9
New Mexico,2024-10-01,454,1
Arkansas,2024-10-01,434,15
Wyoming,2024-10-01,382,10
North Dakota,2024-10-01,346,20
Colorado,2024-10-01,306,10
Louisiana,2024-10-01,208,14
Utah,2024-10-01,87,0
Kansas,2024-10-01,79,0
Michigan,2024-10-01,5,0
California,2024-10-01,5,4
West Virginia,2024-09-01,4532,195
Texas,2024-09-01,4114,57
Pennsylvania,2024-09-01,3337,77
Oklahoma,2024-09-01,1897,58
Louisiana,2024-09-01,1257,61
Ohio,2024-09-01,1198,28
North Dakota,2024-09-01,796,11
Montana,2024-09-01,639,3
Arkansas,2024-09-01,591,20
Colorado,2024-09-01,408,49
Kansas,2024-09-01,286,17
New Mexico,2024-09-01,249,4
Wyoming,2024-09-01,215,12
Utah,2024-09-01,166,0
California,2024-09-01,30,3
Michigan,2024-09-01,2,0
West Virginia,2024-08-01,5998,328
Texas,2024-08-01,5621,120
Pennsylvania,2024-08-01,2713,43
Oklahoma,2024-08-01,2452,41
Ohio,2024-08-01,2304,68
Louisiana,2024-08-01,804,54
Colorado,2024-08-01,766,25
Arkansas,2024-08-01,528,10
Montana,2024-08-01,472,11
Wyoming,2024-08-01,398,35
New Mexico,2024-08-01,358,1
Kansas,2024-08-01,223,8
North Dakota,2024-08-01,196,90
California,2024-08-01,20,0
Utah,2024-08-01,11,0
Michigan,2024-08-01,5,0
West Virginia,2024-07-01,7509,300
Ohio,2024-07-01,3525,43
Texas,2024-07-01,3427,61
Pennsylvania,2024-07-01,1836,50
North Dakota,2024-07-01,1689,24
Oklahoma,2024-07-01,918,24
Louisiana,2024-07-01,579,51
Montana,2024-07-01,549,0
Wyoming,2024-07-01,438,58
Colorado,2024-07-01,230,10
New Mexico,2024-07-01,180,4
Kansas,2024-07-01,120,6
Utah,2024-07-01,82,0
California,2024-07-01,59,9
Michigan,2024-07-01,10,0
Arkansas,2024-07-01,2,0
Pennsylvania,2024-06-01,3293,29
Texas,2024-06-01,3129,109
Oklahoma,2024-06-01,1759,16
North Dakota,2024-06-01,1657,14
West Virginia,2024-06-01,1189,88
Ohio,2024-06-01,1159,11
Louisiana,2024-06-01,932,50
Montana,2024-06-01,826,7
New Mexico,2024-06-01,390,12
Arkansas,2024-06-01,319,8
Wyoming,2024-06-01,302,3
Utah,2024-06-01,232,16
Kansas,2024-06-01,136,12
Colorado,2024-06-01,55,1
Michigan,2024-06-01,1,0
Mississippi,2024-06-01,1,0
West Virginia,2024-05-01,6307,140
Texas,2024-05-01,5530,103
Ohio,2024-05-01,2682,79
Oklahoma,2024-05-01,2232,65
Pennsylvania,2024-05-01,1757,46
North Dakota,2024-05-01,925,7
Louisiana,2024-05-01,902,25
Wyoming,2024-05-01,778,67
Kansas,2024-05-01,427,36
Colorado,2024-05-01,386,49
New Mexico,2024-05-01,239,5
Arkansas,2024-05-01,155,1
Montana,2024-05-01,111,1
Utah,2024-05-01,104,0
Michigan,2024-05-01,5,0
Texas,2024-04-01,5817,146
Pennsylvania,2024-04-01,4709,260
West Virginia,2024-04-01,4264,87
Oklahoma,2024-04-01,2542,36
Ohio,2024-04-01,2492,55
North Dakota,2024-04-01,757,26
Montana,2024-04-01,667,15
Colorado,2024-04-01,530,24
Louisiana,2024-04-01,481,45
Wyoming,2024-04-01,466,1
New Mexico,2024-04-01,260,2
Arkansas,2024-04-01,125,13
Kansas,2024-04-01,32,2
Utah,2024-04-01,29,0
Michigan,2024-04-01,10,0
California,2024-04-01,7,6
Mississippi,2024-04-01,5,0
West Virginia,2024-03-01,6860,172
Texas,2024-03-01,4532,123
Ohio,2024-03-01,2224,30
Oklahoma,2024-03-01,2213,29
Pennsylvania,2024-03-01,1957,150
North Dakota,2024-03-01,1006,5
Louisiana,2024-03-01,949,74
Wyoming,2024-03-01,674,2
Kansas,2024-03-01,482,33
New Mexico,2024-03-01,417,20
Montana,2024-03-01,368,22
Colorado,2024-03-01,197,1
Arkansas,2024-03-01,153,1
Utah,2024-03-01,107,25
California,2024-03-01,40,17
Michigan,2024-03-01,5,1
Texas,2024-02-01,3938,83
Pennsylvania,2024-02-01,2362,104
Ohio,2024-02-01,2012,55
West Virginia,2024-02-01,2002,81
Oklahoma,2024-02-01,1716,24
North Dakota,2024-02-01,754,12
Montana,2024-02-01,455,62
Colorado,2024-02-01,301,6
Wyoming,2024-02-01,237,9
Kansas,2024-02-01,229,1
New Mexico,2024-02-01,162,9
Utah,2024-02-01,118,24
Arkansas,2024-02-01,113,16
Louisiana,2024-02-01,94,21
Michigan,2024-02-01,23,1
Mississippi,2024-02-01,12,0
West Virginia,2024-01-01,3895,247
Texas,2024-01-01,2930,37
Pennsylvania,2024-01-01,1980,39
Ohio,2024-01-01,1728,34
Oklahoma,2024-01-01,1458,16
Colorado,2024-01-01,447,37
North Dakota,2024-01-01,410,3
Arkansas,2024-01-01,391,14
Louisiana,2024-01-01,390,69
New Mexico,2024-01-01,351,10
Wyoming,2024-01-01,90,2
Utah,2024-01-01,72,0
Kansas,2024-01-01,57,4
Michigan,2024-01-01,1,0
Texas,2023-12-01,3512,116
West Virginia,2023-12-01,2850,251
Ohio,2023-12-01,2102,61
Oklahoma,2023-12-01,1843,55
North Dakota,2023-12-01,847,36
Wyoming,2023-12-01,832,40
Pennsylvania,2023-12-01,778,19
Louisiana,2023-12-01,544,55
Colorado,2023-12-01,533,9
Montana,2023-12-01,504,44
Kansas,2023-12-01,468,24
New Mexico,2023-12-01,206,3
Arkansas,2023-12-01,123,1
Utah,2023-12-01,46,0
Michigan,2023-12-01,43,1
Nevada,2023-12-01,3,0
West Virginia,2023-11-01,6442,252
Texas,2023-11-01,4090,105
Ohio,2023-11-01,3655,100
Oklahoma,2023-11-01,3360,96
Pennsylvania,2023-11-01,1296,51
North Dakota,2023-11-01,1188,97
Arkansas,2023-11-01,803,8
Colorado,2023-11-01,543,12
Louisiana,2023-11-01,398,37
New Mexico,2023-11-01,325,26
Kansas,2023-11-01,320,9
Montana,2023-11-01,255,0
Wyoming,2023-11-01,213,46
Michigan,2023-11-01,43,7
Utah,2023-11-01,22,0
Texas,2023-10-01,2948,176
West Virginia,2023-10-01,2901,306
Oklahoma,2023-10-01,2043,72
Pennsylvania,2023-10-01,1445,48
Ohio,2023-10-01,1198,118
North Dakota,2023-10-01,737,14
Wyoming,2023-10-01,733,100
Colorado,2023-10-01,555,55
Arkansas,2023-10-01,383,29
New Mexico,2023-10-01,362,1
Kansas,2023-10-01,56,7
Michigan,2023-10-01,48,0
Louisiana,2023-10-01,41,8
Utah,2023-10-01,34,0
