recordID,stateAbbreviation,countyName,cstitle_instrument,leaseId,div1_instrument,div1_category,div1_short_text,div1_lease_updated,div1_svg_updated,div1_reason
995fc18f-f9ed-4ddb-a8f7-28a193867820,TX,McMullen,MOGL,4238366,1,5,Oil,2019-06-19 13:39:41.050,2018-04-11 03:39:06.473,Div1 category <> 2 (not treated as a lease)
995fc18f-f9ed-4ddb-a8f7-28a193867820,TX,McMullen,MOGL,4238366,1,3,Tank,2019-06-19 13:39:41.050,2018-04-11 03:39:06.473,Div1 category <> 2 (not treated as a lease)
c7125da7-c6b1-49b1-ac5d-e210ce5cda4b,TX,McMullen,MOGL,4240362,1,10,Prod 88: (Rev. 1-68) w/ 640 Pooling,2018-02-01 22:40:21.407,2018-02-21 15:07:46.053,Div1 category <> 2 (not treated as a lease)
c7125da7-c6b1-49b1-ac5d-e210ce5cda4b,TX,McMullen,MOGL,4240362,1,6,pipeline,2018-02-01 22:40:21.407,2018-02-21 15:07:46.053,Div1 category <> 2 (not treated as a lease)
c7125da7-c6b1-49b1-ac5d-e210ce5cda4b,TX,McMullen,MOGL,4240362,1,7,Spud,2018-02-01 22:40:21.407,2018-02-21 15:07:46.053,Div1 category <> 2 (not treated as a lease)
c7125da7-c6b1-49b1-ac5d-e210ce5cda4b,TX,McMullen,MOGL,4240362,1,9,Consultant,2018-02-01 22:40:21.407,2018-02-21 15:07:46.053,Div1 category <> 2 (not treated as a lease)
c7125da7-c6b1-49b1-ac5d-e210ce5cda4b,TX,McMullen,MOGL,4240362,1,8,Clerical,2018-02-01 22:40:21.407,2018-02-21 15:07:46.053,Div1 category <> 2 (not treated as a lease)
c7125da7-c6b1-49b1-ac5d-e210ce5cda4b,TX,McMullen,MOGL,4240362,1,4,Unknown,2018-02-01 22:40:21.407,2018-02-21 15:07:46.053,Div1 category <> 2 (not treated as a lease)
c7125da7-c6b1-49b1-ac5d-e210ce5cda4b,TX,McMullen,MOGL,4240362,1,5,Oil,2018-02-01 22:40:21.407,2018-02-21 15:07:46.053,Div1 category <> 2 (not treated as a lease)
c7125da7-c6b1-49b1-ac5d-e210ce5cda4b,TX,McMullen,MOGL,4240362,1,3,Tank,2018-02-01 22:40:21.407,2018-02-21 15:07:46.053,Div1 category <> 2 (not treated as a lease)
c723fc9a-2d40-45e0-8b72-006b9121ac87,TX,McMullen,MOGL,4233745,1,10,Prod 88: (Rev. 1-68) w/ 640 Pooling,2018-01-29 23:54:34.620,2018-02-21 15:08:25.497,Div1 category <> 2 (not treated as a lease)
c723fc9a-2d40-45e0-8b72-006b9121ac87,TX,McMullen,MOGL,4233745,1,6,pipeline,2018-01-29 23:54:34.620,2018-02-21 15:08:25.497,Div1 category <> 2 (not treated as a lease)
c723fc9a-2d40-45e0-8b72-006b9121ac87,TX,McMullen,MOGL,4233745,1,7,Spud,2018-01-29 23:54:34.620,2018-02-21 15:08:25.497,Div1 category <> 2 (not treated as a lease)
c723fc9a-2d40-45e0-8b72-006b9121ac87,TX,McMullen,MOGL,4233745,1,9,Consultant,2018-01-29 23:54:34.620,2018-02-21 15:08:25.497,Div1 category <> 2 (not treated as a lease)
c723fc9a-2d40-45e0-8b72-006b9121ac87,TX,McMullen,MOGL,4233745,1,8,Clerical,2018-01-29 23:54:34.620,2018-02-21 15:08:25.497,Div1 category <> 2 (not treated as a lease)
995fc18f-f9ed-4ddb-a8f7-28a193867820,TX,McMullen,MOGL,4238366,1,10,Prod 88: (Rev. 1-68) w/ 640 Pooling,2019-06-19 13:39:41.050,2018-04-11 03:39:06.473,Div1 category <> 2 (not treated as a lease)
