Directory,Size_Bytes
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\007a,4592127
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\007b,47758111
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\007c,2183279
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\007d,9507631
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\007e,1007620
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\007f,8383102
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0080,15746691
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0081,10327108
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0082,27587699
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0083,5110392
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0084,9408512
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0085,872459
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0086,6636898
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0087,10477665
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0088,11556484
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0089,6378928
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\008a,410218
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\008b,4268532
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\008c,1016784
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\008d,2663960
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\008e,6921916
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\008f,35323945
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0090,6482315
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0091,14990907
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0092,22861254
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0093,2023070
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0094,6499122
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0095,11453571
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0096,16439338
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0097,5040696
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0098,3310073
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0099,67398320
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\009a,327825
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\009b,21830180
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\009c,25175890
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\009d,15253716
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\009e,5027296
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\009f,3579908
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a0,24896931
