RecordID,CountyID,LandDescriptionID,BriefLegal,Subdivision,Lot,Block,AbstractName,AcreageByTract,QuarterCalls,Remarks
5539aed2-c7c7-4ac1-be3d-2618e7a27a94,221,e08ab753-b6be-46dc-818e-54de030cb0d4,B F HORN SUBDIVISION 1 13,B F HORN SUBDIVISION,13,1,NULL,NULL,NULL,NULL
a6b5586d-87f7-418f-af12-a1fbec043aa6,221,e08cee1b-eeef-49dd-a029-4fc79c526d08,BERTHA ENSMINGER SUBDIVISION 2 6,BERTHA ENSMINGER SUBDIVISION,6,2,NULL,NULL,NULL,NULL
4c714c28-29fb-4761-911a-1b4b5e04b836,221,e08ef0e2-7592-4857-be21-1f405c605d2e,WILLIAMS ESTATE SUBDIVISION 4 W2,WILLIAMS ESTATE SUBDIVISION,4,NULL,NULL,NULL,W2,NULL
70198074-29a9-412c-8829-e351848076bb,221,e09f9ca8-aec0-422f-b00d-4cf58d90050c,ALAMEDA ADDITION SECTION 5 S 2,ALAMEDA ADDITION SECTION 5,2,S,NULL,NULL,NULL,NULL
8cf3d1a8-6f32-43d1-aa77-047530447d77,221,e0a2275a-af27-4ecc-b6cd-ec34ab0db6a3,WARD H 90 0.1630 acres,NULL,NULL,NULL,NULL,0.1630,NULL,NULL
3a93ba7b-ae4a-44c9-8a33-f39d099b6b9a,221,e0a3ee62-79ce-41b3-8427-414eeb26f87b,ARTHUR SEARS PARK 35 33,ARTHUR SEARS PARK,33,35,NULL,NULL,NULL,NULL
8842ec6e-c316-4ae7-8e69-8c55644d585d,221,e0a85aea-9f36-4fd6-875c-97a5f9a5f05e,HUTCHESON ADDITION A 2 A-487 MARTIN H B 13.323 acres,HUTCHESON ADDITION,2,A,487,13.323,NULL,NULL
29723018-eb58-4d9b-8eac-f80b6ee87adf,221,e0b3c875-9b89-4210-8b90-ff0f4a1aef79,HOLLOWAY FARMS A 22 61.1030 acres,HOLLOWAY FARMS,22,A,NULL,61.1030,NULL,NULL
76695869-5f34-4ef7-b8b3-edd640f8278c,221,e0cd9172-17c7-4b65-9dec-973923ef2845,M B AND F SUBDIVISION CONTINUATION 1 A 10 4.0000 acres,M B AND F SUBDIVISION CONTINUATION 1,10,A,NULL,4.0000,NULL,NULL
51660f6c-6950-4c0c-89ae-3d392c8b35ae,221,e0dc57aa-88c9-44f5-ba5c-4cf39eeb3fc7,HUGHES SUBDIVISION A 9,HUGHES SUBDIVISION,9,A,NULL,NULL,NULL,NULL
