RecordID,in_CS_Digital,in_countyScansTitle,in_courthousedirecttitle,verdict
e88610a2-ce17-45e5-b546-3eca80055340,NO,NO,NO,true_orphan
3d6c9c0e-5580-4a61-ada9-7e473a7eb878,NO,NO,NO,true_orphan
fc224f27-3406-4ab9-b109-f0437698f3f2,NO,NO,NO,true_orphan
8198a6ba-8fef-4e42-81d1-94d3d31d9960,NO,NO,NO,true_orphan
7b1d3623-e34b-492d-bcea-a86a76c5bde6,NO,NO,NO,true_orphan
649fb6b5-1a77-4d9f-b0c2-707e158568c1,NO,NO,NO,true_orphan
11fb1d35-cc0c-4637-a6ed-32dce9ec8041,NO,NO,NO,true_orphan
8f514ffc-ab5f-425b-93d0-7c2f4f428343,NO,NO,NO,true_orphan
b3747693-971d-46f6-b46e-863bf4e6c646,NO,NO,NO,true_orphan
2bc27d11-bf0d-4920-9508-9effdb10343e,NO,NO,NO,true_orphan
b9855a46-1a39-47f5-b801-a11d5061f64d,NO,NO,NO,true_orphan
30ed2aee-8b64-4bd6-87a7-28a5c8be76a1,NO,NO,NO,true_orphan
77a2ed2f-cb4b-495c-8384-75b6af7b8392,NO,NO,NO,true_orphan
108aac7e-372d-4003-822e-61d29aa1c26c,NO,NO,NO,true_orphan
567215aa-9075-40f8-b9e2-a14ef736afde,NO,NO,NO,true_orphan
3f854cf5-da20-4b74-a1ed-ffd90d5460ba,NO,NO,NO,true_orphan
11b426d9-5b4e-403a-b9eb-03a96e8227af,NO,NO,NO,true_orphan
60f9448d-ecb0-4119-a6fa-5e2f23d39354,NO,NO,NO,true_orphan
e4a366c6-f441-4f67-baa2-6adc00658a4e,NO,NO,NO,true_orphan
ed66ded7-ad60-4912-a081-9d8904695c9d,NO,NO,NO,true_orphan
f8595b39-7568-4477-89d6-e9fd1f901395,NO,NO,NO,true_orphan
5c2d32a6-c2c8-45cf-8965-c23e341a1f4a,NO,NO,NO,true_orphan
35a39398-eccf-4815-8614-f299108eb1a8,NO,NO,NO,true_orphan
fb2983e1-a7b5-452b-899f-384971b32fb0,NO,NO,NO,true_orphan
a673cf85-8432-47f3-af05-d1a7300eebe6,NO,NO,NO,true_orphan
d093bd29-9a49-4917-ba1c-d0c5c742bc8c,NO,NO,NO,true_orphan
78861a6f-0aa0-4f33-9c25-b1e8fe745de1,NO,NO,NO,true_orphan
014f8b68-e4d9-4551-97fc-a9dc973fd54b,NO,NO,NO,true_orphan
e9e77036-f77a-4a00-a7cb-4f47f4c62be5,NO,NO,NO,true_orphan
c51cd345-3b43-4361-9095-e2497b495c6c,NO,NO,NO,true_orphan
9cb08f69-f884-499a-873a-51d7a71e530a,NO,NO,NO,true_orphan
3493a188-fd13-465b-aa7d-cbdbef7a47d5,NO,NO,NO,true_orphan
6aaa074c-6117-46cb-acaa-f5e8def78268,NO,NO,NO,true_orphan
b439572a-f7b4-4373-9003-bd94fc1301cf,NO,NO,NO,true_orphan
79237357-8704-4361-8ba4-2325fec5d128,NO,NO,NO,true_orphan
966b6e58-1e3f-467f-b856-ae67fabe36d5,NO,NO,NO,true_orphan
3a1f25cf-765c-4b24-956c-3af16c59cf01,NO,NO,NO,true_orphan
f2ecd03e-3d08-4136-aadb-906965259600,NO,NO,NO,true_orphan
bd3a920f-261d-451a-b499-70991d3458a8,NO,NO,NO,true_orphan
27614c83-8fe3-428c-a456-5cd5fb1c6e99,NO,NO,NO,true_orphan
fcdada33-500d-4aff-b0b3-e318a720b6e0,NO,NO,NO,true_orphan
0daaadae-2107-41eb-87ca-e118a75b083d,NO,NO,NO,true_orphan
494f1386-dbc2-4af7-a44c-c487445c35fa,NO,NO,NO,true_orphan
e8ffb89c-ad4d-4f11-a45f-3c249c8957af,NO,NO,NO,true_orphan
dea42ef4-a583-43d3-a093-8536674876a5,NO,NO,NO,true_orphan
05b57409-0c4f-4a72-bd81-778e2a6fc56d,NO,NO,NO,true_orphan
4cfd0c5d-79fc-4615-9dea-b6d73187f152,NO,NO,NO,true_orphan
8a6a67b3-7337-4f6c-8575-1ef6dadc96b0,NO,NO,NO,true_orphan
030bbb40-837b-469f-9220-203aa1169f76,NO,NO,NO,true_orphan
c73e0db6-9481-465b-bd8d-f8fdce56726e,NO,NO,NO,true_orphan
3c18f2a5-83ff-4147-8d2f-c347a0ffe9b1,NO,NO,NO,true_orphan
f71bce9b-223f-4676-892b-f80f60a7fa20,NO,NO,NO,true_orphan
025145be-5b9e-43ae-8a8c-edd3189a5eaf,NO,NO,NO,true_orphan
e10b3916-7a97-47da-93fc-1e69a12321a9,NO,NO,NO,true_orphan
2ebdc72b-b75b-4b1b-b41a-7ee232a9f883,NO,NO,NO,true_orphan
d2d1b3b9-3325-4ac2-b15a-e9eba073d8d2,NO,NO,NO,true_orphan
0f42aa81-4786-4747-83ba-3bd0e2c15c0b,NO,NO,NO,true_orphan
d56ec4fa-5e61-43ed-b91d-72ffc5a968d3,NO,NO,NO,true_orphan
c5a1c884-43e6-4dfe-ad4c-ceab7dba5a2b,NO,NO,NO,true_orphan
82f09e80-65c0-4d7c-9a86-8f7e4a75a988,NO,NO,NO,true_orphan
c59c68ed-9dd8-4608-a0fd-e7550489c7d2,NO,NO,NO,true_orphan
56a45396-171b-4e89-a657-e3cbecbf7e48,NO,NO,NO,true_orphan
6ef1897e-f76b-4d48-ae8c-28411e3d292d,NO,NO,NO,true_orphan
dee13c6b-3b15-48d0-99f5-7d41b3d13c40,NO,NO,NO,true_orphan
55696b5c-8709-4342-9e91-c4dae42466b4,NO,NO,NO,true_orphan
2b596c8a-3828-4222-b5d3-3013cd6e0cd7,NO,NO,NO,true_orphan
f9b2cb33-8710-499e-91da-5f1149549cd3,NO,NO,NO,true_orphan
3a304a1e-5e41-486c-a0ec-1b1ea5839c0b,NO,NO,NO,true_orphan
7f166a67-efb3-4c1a-aeb2-08251a254cde,NO,NO,NO,true_orphan
4e0ca4ac-a924-4063-ad23-334fbe8f2c60,NO,NO,NO,true_orphan
bb6ef67f-c817-4fb8-9c69-28a1a02aed6e,NO,NO,NO,true_orphan
ff67e5db-3b7d-4e4b-8863-b3509287fc15,NO,NO,NO,true_orphan
aeabbfca-44f9-430b-ab9b-c6d4eed4e4f4,NO,NO,NO,true_orphan
3f9b736a-540d-48fb-ae70-511235f33008,NO,NO,NO,true_orphan
0dacfb7f-edc1-4726-baa1-df144c02c322,NO,NO,NO,true_orphan
87757a9c-5077-4386-aa98-b0dee527aa99,NO,NO,NO,true_orphan
57f39b14-4d12-4c87-9478-a03ddc74373b,NO,NO,NO,true_orphan
b4a59165-e5df-4cf6-b366-0edf3cdf308a,NO,NO,NO,true_orphan
45607c46-e19c-475a-9d42-a9f7b7cb0e0a,NO,NO,NO,true_orphan
439e7f75-226c-4f34-aac0-66f62e1026e4,NO,NO,NO,true_orphan
7f37bb6b-9148-4c1c-85b8-3ee18aa6943e,NO,NO,NO,true_orphan
8cc3d9a5-5721-4614-970f-0ba70bb45bd8,NO,NO,NO,true_orphan
87f458dc-f1de-4a59-8ac7-cdf193d99eba,NO,NO,NO,true_orphan
693c5ee6-7b64-4b08-9fc1-4fe413f5228c,NO,NO,NO,true_orphan
a3d43c28-7248-419b-9fb7-586316fab9ba,NO,NO,NO,true_orphan
b473d897-4b57-4691-bb63-d3ee62bf6cae,NO,NO,NO,true_orphan
