RecordID,package_id_1,package_id_2,pkg_count,recordCounty,recordState,recordOriginalFileName,pdf_identity_1,pdf_identity_2,pdf_size_1,pdf_size_2,pdf_etag_1,pdf_etag_2,pkg1_has_ocr,pkg1_has_iie,pkg2_has_ocr,pkg2_has_iie,verdict,keep_package_id,error
e21d50b0-f03a-46d8-9fcd-4e00877ccf4c,co8chrv3r4d000f1v3g0,co8chs2f6nn0008tu4f0,2,MADISON,TX,00074333,s3://di-diml-platinum-prod/co8chrv3r4d000f1v3g0/co8chrp8t1lg00a7oer0/e21d50b0-f03a-46d8-9fcd-4e00877ccf4c.pdf,s3://di-diml-platinum-prod/co8chs2f6nn0008tu4f0/co8chs1miud0009ukqc0/e21d50b0-f03a-46d8-9fcd-4e00877ccf4c.pdf,41588,41588,c24b190c4b12d15c624070b7afacf665,c24b190c4b12d15c624070b7afacf665,True,True,True,True,same_pdf,,
e224dc71-9955-4c6a-a650-ebb50fff6df2,c4e9k58qui1g00dcsi2g,c4e9p5nl13i0009r7j30,2,RUSK2,TX,00179891,s3://di-diml-platinum-prod/c4e9k58qui1g00dcsi2g/c4e9k5dnv8a0008hc30g/4241146.pdf,s3://di-diml-platinum-prod/c4e9p5nl13i0009r7j30/c4e9p5ku12qg0096pm8g/4241146.pdf,115265,115265,0f976d2b1c2a993fc7c719c708337b81,0f976d2b1c2a993fc7c719c708337b81,True,True,True,True,same_pdf,,
e22c3a96-3119-4910-a9c3-a5e07c8a0e01,co8chs45646000cjdis0,co8chs6i5iag009ucqdg,2,MADISON,TX,00074380,s3://di-diml-platinum-prod/co8chs45646000cjdis0/co8chs19galg00d23280/e22c3a96-3119-4910-a9c3-a5e07c8a0e01.pdf,s3://di-diml-platinum-prod/co8chs6i5iag009ucqdg/co8chs73r4d000f1v3gg/e22c3a96-3119-4910-a9c3-a5e07c8a0e01.pdf,63934,63934,9a0cd82d3fddb8c53e69ee3c28de8065,9a0cd82d3fddb8c53e69ee3c28de8065,True,True,True,True,same_pdf,,
e2640d59-8fdf-4484-9d25-6894985abd63,c4e9kbsbq3o000abupi0,c4e9p5ftarsg00au3qtg,2,RUSK2,TX,00182793,s3://di-diml-platinum-prod/c4e9kbsbq3o000abupi0/c4e9kbsvfoog00ds2veg/4257847.pdf,s3://di-diml-platinum-prod/c4e9p5ftarsg00au3qtg/c4e9p5cvfoog00ds3130/4257847.pdf,328323,328323,5a133ad04d0099029fd0e4a307155e54,5a133ad04d0099029fd0e4a307155e54,True,True,True,True,same_pdf,,
E27C9C44-3B96-49CD-9DE9-CDFDD853DA09,c5kfqlfl13i0009v3j2g,c5kfqmdksi2g00c4m7gg,2,NULL,NULL,NULL,s3://di-diml-platinum-prod/c5kfqlfl13i0009v3j2g/c5kfqlbvdq3000f46l00/E27C9C44-3B96-49CD-9DE9-CDFDD853DA09.pdf,s3://di-diml-platinum-prod/c5kfqmdksi2g00c4m7gg/c5kfqmcu12qg009ael6g/E27C9C44-3B96-49CD-9DE9-CDFDD853DA09.pdf,363210,363210,c7e87abfc363b5b62bb2cf0b24d4c630,e00409b75520a2fe0b84e28ed1c1e476,True,True,True,True,different_pdf,,
e27da9f9-5b5a-4a50-b1d1-f01d14cec43b,cf8c7n9eff7g00av1q1g,cf8c7nppr5lg00cggbsg,2,NULL,NULL,NULL,s3://di-diml-platinum-prod/cf8c7n9eff7g00av1q1g/cf8c7nf9dv5000dk29ig/4895400.pdf,s3://di-diml-platinum-prod/cf8c7nppr5lg00cggbsg/cf8c7ns4op8000ddu160/4895400.pdf,111104,111104,c672f040d1d748ba7dde76dcdee917cb,c672f040d1d748ba7dde76dcdee917cb,True,True,True,True,same_pdf,,
e2a41301-4680-4b0f-8f31-5a27452b0567,coabrmjai11g00d5pd00,coabrmk10vk00087j9hg,2,MADISON,TX,00078184,s3://di-diml-platinum-prod/coabrmjai11g00d5pd00/coabrmgn2q9g00f0n7n0/e2a41301-4680-4b0f-8f31-5a27452b0567.pdf,s3://di-diml-platinum-prod/coabrmk10vk00087j9hg/coabrmg1qiv000f31ok0/e2a41301-4680-4b0f-8f31-5a27452b0567.pdf,376973,376973,cdf2d4b13c45f9a7d4802e3e549878c6,cdf2d4b13c45f9a7d4802e3e549878c6,True,True,True,True,same_pdf,,
e2c58942-4802-4552-a6a2-852e281ee921,c4e9k5co26gg008qp9eg,c4e9p32c0ku000ap4ag0,2,RUSK2,TX,00181846,s3://di-diml-platinum-prod/c4e9k5co26gg008qp9eg/c4e9k5ff3f9g0080s09g/4257844.pdf,s3://di-diml-platinum-prod/c4e9p32c0ku000ap4ag0/c4e9p34vfoog00ds3120/4257844.pdf,64179,64179,4a0c785e4a2580330ca7f50ecd6503cd,4a0c785e4a2580330ca7f50ecd6503cd,True,True,True,True,same_pdf,,
e2d35307-be0f-439a-a34c-74189f51dd83,cp03u599galg00d5l3qg,cp03u5dorq7g008q9h4g,2,REAGAN,TX,20140117366,s3://di-diml-platinum-prod/cp03u599galg00d5l3qg/cp03u581qiv000f6mudg/e2d35307-be0f-439a-a34c-74189f51dd83.pdf,s3://di-diml-platinum-prod/cp03u5dorq7g008q9h4g/cp03u5bai11g00d96il0/e2d35307-be0f-439a-a34c-74189f51dd83.pdf,310604,310604,7dae010f9286be8bd0df96d0a7823a78,7dae010f9286be8bd0df96d0a7823a78,True,True,True,True,same_pdf,,
e306bf8a-8556-4cac-92af-f65afe510cd0,cf8c7nqqhpqg00ct7g00,cf8c7nuea3q0008b14r0,2,NULL,NULL,NULL,s3://di-diml-platinum-prod/cf8c7nqqhpqg00ct7g00/cf8c7nv6bs0g00842lg0/4895359.pdf,s3://di-diml-platinum-prod/cf8c7nuea3q0008b14r0/cf8c7nqgr9bg0095tg90/4895359.pdf,154016,154016,0c9899eb43b0b0beec23795f71391b23,0c9899eb43b0b0beec23795f71391b23,True,True,True,True,same_pdf,,
